"GTEX.11DXY.0526.SM.5EGGQ" "GTEX.11DXZ.0126.SM.5EGGY" "GTEX.11EQ9.0526.SM.5A5JZ" "GTEX.11GSP.0626.SM.5986T" "GTEX.11NUK.1226.SM.5P9GM" "GTEX.11NV4.1326.SM.5HL6V" "GTEX.11OF3.0726.SM.5BC4Z" "GTEX.11TT1.1726.SM.5EQLJ" "GTEX.11TUW.1726.SM.5BC5C" "GTEX.11WQC.0726.SM.5EQMR" "GTEX.11ZTS.1426.SM.5EQMM" "GTEX.11ZUS.2526.SM.59872" "GTEX.11ZVC.0726.SM.5FQT9" "GTEX.1212Z.0226.SM.59HLF" "GTEX.12696.0826.SM.5EGGE" "GTEX.1269C.0626.SM.5FQSS" "GTEX.12KS4.1326.SM.5LUB3" "GTEX.12WSD.1426.SM.5GCN9" "GTEX.12WSG.0626.SM.5FQTQ" "GTEX.12WSI.0226.SM.5GCNA"
"ENSG00000235131" 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000227372" 1200 714 1313 1270 2341 1460 1164 1068 409 1573 2470 972 1761 1140 1082 1101 938 1207 1344 990
"ENSG00000162592" 0 0 2 0 0 1 0 0 0 0 2 1 0 0 0 0 0 2 0 0
"ENSG00000235169" 208 99 87 127 303 269 142 30 91 207 259 197 95 265 39 192 174 206 58 68
"ENSG00000130764" 2552 1772 3459 1250 2946 2567 1624 3001 2115 2877 3863 2527 2205 1917 2067 2079 2017 2007 2994 1865
"ENSG00000266075" 4 0 4 1 6 8 2 3 1 9 8 5 9 1 9 4 1 5 2 6
"ENSG00000272153" 63 40 71 52 100 70 38 61 22 70 66 39 48 49 68 27 31 46 53 30
"ENSG00000116198" 1007 830 1543 763 1264 1337 1206 1942 788 1471 1897 936 1505 842 1466 1352 1140 1168 1880 887
"ENSG00000169598" 769 282 247 485 613 844 510 228 98 567 847 434 867 324 408 383 302 381 244 309
"ENSG00000198912" 1346 681 1048 907 1306 1101 823 1185 519 1100 1796 600 1492 778 819 997 857 955 1034 706
"ENSG00000236423" 49 24 27 3 51 47 113 68 3 122 59 46 55 42 35 40 68 21 74 55
"ENSG00000233304" 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"ENSG00000226374" 0 0 0 0 0 0 0 0 0 1 0 2 1 0 0 0 0 2 0 0
"ENSG00000229280" 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"ENSG00000235054" 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
"ENSG00000227169" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000232596" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000196581" 26 9 91 56 50 59 55 2 0 80 38 28 29 15 36 36 24 16 21 223
"ENSG00000231510" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000260972" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000264341" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000236948" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000216045" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000264101" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000131697" 180 165 525 409 455 441 271 180 78 178 542 70 318 185 413 147 396 408 190 336
"ENSG00000266687" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000069424" 819 441 2369 733 662 1223 1339 364 809 669 590 421 306 1328 425 707 587 1170 686 1983
"ENSG00000116254" 15 4 6 21 10 15 10 26 16 6 11 8 25 5 7 15 30 25 17 10
"ENSG00000116251" 5313 3484 7202 2593 5393 4978 4044 6989 5100 5966 6366 3794 4476 3491 5872 5558 5905 4240 6777 4609
